,,,,,,,,,,,,,,,Position Information Used By Analysis,,,,Hole Position,,,,Hole Elevation,,True As-Built Position,,,Cable Delay Calculation,,,,
15,BAT7,25,300,RF_BAT_SIG7,RF_TRIG_BAT2,C7,A,0,15,S1,"""batwing""",Fat dipole,H,ST1,5.71,-19.45,2.28,108.74,5.71,-19.45,-0.8,0.00,0.00,-3.1,5.71,-19.45,2.28,108.745,0,108.74,oriented EW -8 deg,
16,BAT8,25,300,RF_BAT_SIG8,RF_TRIG_BAT1,C8,B,0,16,S2,"""batwing""",Fat dipole,H,ST2,-16.70,12.00,2.28,108.74,-16.7,12.00,-0.8,0.00,0.00,-3.1,-16.70,12.00,2.28,108.745,0,108.74,oriented EW -30 deg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL PULSER LOCATIONS & antennas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,NA,NA,NA,NA,0,0,C1V,NA,Bicone,V,Cal1,0.17,-30.01,-22.61,247.913,0.174,-30.01,-22.4,-0.213,14.53,-0.0,0.17,-30.01,-22.61,246.793,1.12,247.913,used for early runs,
,,,0,NA,NA,NA,NA,0,0,C1H,NA,Bowtie-slotted cyl.,H,Cal1,0.17,-30.01,-17.61,238.9,0.17,-30.01,-17.4,-0.213,14.53,-0.0,0.17,-30.01,-17.61,227,11.54,238.9,“,
,,,0,NA,NA,NA,NA,0,0,C2V,NA,Bicone,V,Cal2,25.86,15.31,-29.26,228.5,25.86,15.31,-29.1,-0.213,14.32,-0.0,25.86,15.31,-29.26,227,1.12,228.5,"Currently in use, 1Hz",
,,,0,NA,NA,NA,NA,0,0,C2H,NA,Bowtie-slotted cyl.,H,Cal2,25.86,15.31,-34.26,258.333,25.86,15.31,-34.1,-0.213,14.32,-0.0,25.86,15.31,-34.26,246.793,11.54,258.333,“,
,,,0,NA,NA,NA,NA,0,0,C3V,NA,Discone,V,Cal3,-26.45,14.75,-0.40,151.6,-26.45,14.75,-1,0.00,11.732,-0.6,-26.45,14.75,-0.40,152,0,151.6,used for early runs,
,,,0,NA,NA,NA,NA,0,0,C3H,NA,Batwing,H,Cal3,-26.81,13.20,-0.40,151.6,-26.81,13.2,-1,0.00,11.73,-0.6,-26.81,13.20,-0.40,152,0,151.6,“,
